Number,Content,Type
0,친구와 약속이 잡혔다. 친구와 하루를 어떻게 보낼까?,Question
1,9시에 만나 동이 트는 5시에 일어나서 준비할 것이며 해가 지는 8시까지 활기차게 놀 것이다.,Summer
2,15시 이후에 만나 빨리 친구와 볼 일을 마치고 집에 돌아가 하루를 즐길 것이다.,Winter
3,12시 이후에 만나 점심부터 저녁까지 코스를 짜 함께 즐길 것이다.,Autumn
4,11시 이전에 만나 함께 점심을 먹고 영화를 보고 헤어질 것이다.,Spring
5,친구에게 이성을 소개받았다. 어떤 스타일로 갈까?,Question
6,모던한 스타일,Winter
7,화려한 스타일,Summer
8,개성 있는 스타일,Autumn
9,밝고 단정한 스타일,Spring
10,어느 날 길을 가다 모르는 사람이 도움을 청합니다. 당신은 굉장히 바쁜 상황입니다. 어떻게 하실 건가요?,Question
11,잘생기거나 이쁘면 도와준다.,Autumn
12,나는 바쁜 사람이다. 무시하고 이동한다.,Winter
13,바쁜 상황임을 알리며 거절한다.,Summer
14,피해를 감수하고 도와준다.,Spring
15,결국 모르는 사람을 도와주게 된 당신. 모르는 사람은 당신에게 감사를 표하며 무언가를 준다. 무엇일까?,Question
16,백지수표,Autumn
17,전설의 엑스칼리버,Spring
18,밀감 한 봉지,Winter
19,저녁 식사 초대,Summer
20,집에 무언 가를 키우려고 한다. 어떤 것을 키울 것인가?,Question
21,강아지,Spring
22,고양이,Autumn
23,안 키운다.,Winter
24,마리모,Summer
25,당신이 원하는 것을 키우게 되었다. 이들의 방을 어디로 할 것인가?,Question
26,나의 방,Autumn
27,남는 방,Summer
28,안 키운다.,Winter
29,4차원 공간,Spring
